id,title,company_name,location_name,salary_min,salary_max,date_posted,country,redirect_url,seniority,extracted_at
5586665461,Data Engineer,NEEV LIMITED,"Bournemouth, Dorset",49630.12,49630.12,2026-01-15T19:24:29Z,GB,https://www.adzuna.co.uk/jobs/land/ad/5586665461?se=Lo55y58R8RGGsLPSuKXhcg&utm_medium=api&utm_source=9fef4eac&v=E2A76BC017A90DD81AD72025D98E251B95E81C9D,Mid-Level,2026-02-24T13:38:16.840573
5618511499,Data Engineer,Adepta Partners Limited,"Northern Ireland, UK",60000.0,60000.0,2026-02-07T03:18:21Z,GB,https://www.adzuna.co.uk/jobs/land/ad/5618511499?se=Lo55y58R8RGGsLPSuKXhcg&utm_medium=api&utm_source=9fef4eac&v=C1913DA5F7A964A6873A956A0BD778B595C87ABA,Mid-Level,2026-02-24T13:38:16.840573
5616752652,Data Engineer,Hayward Hawk,"Northern Ireland, UK",72084.45,72084.45,2026-02-06T03:17:12Z,GB,https://www.adzuna.co.uk/jobs/land/ad/5616752652?se=Lo55y58R8RGGsLPSuKXhcg&utm_medium=api&utm_source=9fef4eac&v=264E7243047785AA9AC59F7DB490323B0A4295DF,Mid-Level,2026-02-24T13:38:16.840573
5629024141,Data Engineer,Version 1,"Belfast, Northern Ireland",50332.03,50332.03,2026-02-14T03:19:52Z,GB,https://www.adzuna.co.uk/jobs/land/ad/5629024141?se=Lo55y58R8RGGsLPSuKXhcg&utm_medium=api&utm_source=9fef4eac&v=D5028A05295B781D3D3CD339E751DED74651F632,Mid-Level,2026-02-24T13:38:16.840573
5617119768,Data Engineer,Birchwell Associates Ltd,"Wallingford, Oxfordshire",50000.0,50000.0,2026-02-06T09:29:48Z,GB,https://www.adzuna.co.uk/jobs/land/ad/5617119768?se=Lo55y58R8RGGsLPSuKXhcg&utm_medium=api&utm_source=9fef4eac&v=2DA7F9222FC258E85F06120BEEA9EA8C4C372116,Mid-Level,2026-02-24T13:38:16.840573
5626086460,SAS Data Engineer,Deerfoot Recruitment Solutions,"Town Centre, Telford",70000.0,70000.0,2026-02-12T12:44:22Z,GB,https://www.adzuna.co.uk/jobs/land/ad/5626086460?se=Lo55y58R8RGGsLPSuKXhcg&utm_medium=api&utm_source=9fef4eac&v=30B35E1F418228DB59374E267CD0D0B0FF170EA3,Mid-Level,2026-02-24T13:38:16.840573
5643647906,Senior Data Engineer,VIQU IT Recruitment,"Bradshaw, Bolton",65000.0,65000.0,2026-02-24T14:17:56Z,GB,https://www.adzuna.co.uk/jobs/land/ad/5643647906?se=Lo55y58R8RGGsLPSuKXhcg&utm_medium=api&utm_source=9fef4eac&v=19992DC56851FA1E911356EED5428182C2C6B445,Senior,2026-02-24T13:38:16.840573
5643432857,Lead Data Engineer,Vallum Associates Limited,"Rainstorth, Ecclesfield",60289.5,60289.5,2026-02-24T10:12:45Z,GB,https://www.adzuna.co.uk/jobs/land/ad/5643432857?se=Lo55y58R8RGGsLPSuKXhcg&utm_medium=api&utm_source=9fef4eac&v=25BFBC5F39DFE5C339AB03CC973416AA4623FD9F,Senior,2026-02-24T13:38:16.840573
5643547043,Data Engineer,"Eigen X, LLC","King of Prussia, Montgomery County",148898.8,148898.8,2026-02-24T06:12:36Z,US,https://www.adzuna.com/land/ad/5643547043?se=po8fyp8R8RGGsLPSuKXhcg&utm_medium=api&utm_source=9fef4eac&v=0BC9DF349EECABD2B9D0BB673CC4F9518B3857BA,Mid-Level,2026-02-24T13:38:16.840573
5643546717,Sr. Data Engineer,PSA Ventures,"Mentor, Lake County",101039.11,101039.11,2026-02-24T06:12:35Z,US,https://www.adzuna.com/land/ad/5643546717?se=po8fyp8R8RGGsLPSuKXhcg&utm_medium=api&utm_source=9fef4eac&v=9CB31C951AA5595A384C472B218C73A321CF3141,Senior,2026-02-24T13:38:16.840573
5629422930,Data Engineer,Insight Global,"McLean, Pierce County",83200.0,99840.0,2026-02-14T04:25:48Z,US,https://www.adzuna.com/land/ad/5629422930?se=po8fyp8R8RGGsLPSuKXhcg&utm_medium=api&utm_source=9fef4eac&v=7C68B1BB1AA1426EC51B0C06083C38C3190D964C,Mid-Level,2026-02-24T13:38:16.840573
5639622998,Senior Data Engineer,CyberCoders,"Austin, Lonoke County",136344.34,136344.34,2026-02-21T04:39:06Z,US,https://www.adzuna.com/land/ad/5639622998?se=po8fyp8R8RGGsLPSuKXhcg&utm_medium=api&utm_source=9fef4eac&v=35F6AEAF766A8ABD705DB76BE4D6C34334D170E4,Senior,2026-02-24T13:38:16.840573
5639597606,Staff Data Engineer,CyberCoders,"Austin, Lonoke County",127298.45,127298.45,2026-02-21T04:09:08Z,US,https://www.adzuna.com/land/ad/5639597606?se=po8fyp8R8RGGsLPSuKXhcg&utm_medium=api&utm_source=9fef4eac&v=C739D181BA06F758070A836F54F3972E13F80563,Senior,2026-02-24T13:38:16.840573
5641763728,Senior Data Engineer,CyberCoders,"Fairfield, Fairfield County",179489.47,179489.47,2026-02-22T19:10:40Z,US,https://www.adzuna.com/land/ad/5641763728?se=po8fyp8R8RGGsLPSuKXhcg&utm_medium=api&utm_source=9fef4eac&v=1FF98183F5AC8A963A34CC9E0CCC7CE742A0D491,Senior,2026-02-24T13:38:16.840573
5641781854,Senior Data Engineer,CyberCoders,"New York City, New York",168666.2,168666.2,2026-02-22T19:24:49Z,US,https://www.adzuna.com/land/ad/5641781854?se=po8fyp8R8RGGsLPSuKXhcg&utm_medium=api&utm_source=9fef4eac&v=A392904FF38050F93B38C59BB81F32978B4F6B7E,Senior,2026-02-24T13:38:16.840573
5641770840,Senior Data Engineer,CyberCoders,"New Haven, New Haven County",171343.89,171343.89,2026-02-22T19:14:48Z,US,https://www.adzuna.com/land/ad/5641770840?se=po8fyp8R8RGGsLPSuKXhcg&utm_medium=api&utm_source=9fef4eac&v=1684A5B267D2F59A6168ED193D862358B41CA96E,Senior,2026-02-24T13:38:16.840573
5641798579,Senior Data Engineer,CyberCoders,"Andover, Tolland County",170640.08,170640.08,2026-02-22T19:38:11Z,US,https://www.adzuna.com/land/ad/5641798579?se=po8fyp8R8RGGsLPSuKXhcg&utm_medium=api&utm_source=9fef4eac&v=86A47DDC715EA4789A9CDC6EB748209E5F688E6F,Senior,2026-02-24T13:38:16.840573
5641797628,Senior Data Engineer,CyberCoders,"Los Angeles, Los Angeles County",162779.47,162779.47,2026-02-22T19:37:41Z,US,https://www.adzuna.com/land/ad/5641797628?se=po8fyp8R8RGGsLPSuKXhcg&utm_medium=api&utm_source=9fef4eac&v=7C81EFEC8621A4916DFDAA558B2CB8742A2409EB,Senior,2026-02-24T13:38:16.840573
